Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Murena Silanus,20,31,Thrace,173,110,Murmillo,1,0,Endurance,Dagger,Low,Basic,0.4242591576764527,Low,5.617708863809323,Poor,Advanced,Moderate,1,Stoic,Excellent,Survival,Entertainer,High,Aggressive,Medium,Charismatic,False
Musonius Mamilius,33,147,Gaul,187,65,Retiarius,6,2,Tactics,Net,High,Superior,0.5588493358811637,Low,6.403432244082532,Excellent,Advanced,Strong,8,Aggressive,Excellent,Vengeance,Unemployed,Medium,Balanced,Medium,Humble,True
Brennus Rebilus,22,68,Numidia,178,87,Hoplomachus,9,0,Agility,Dagger,Medium,Standard,0.9549228580997128,Low,6.6703911049361775,Adequate,Expert,Strong,9,Calculative,Excellent,Glory,Entertainer,Low,Balanced,High,Flamboyant,True
Numonius Maecenas,27,35,Greece,155,114,Secutor,7,1,Novice,Dagger,Medium,Standard,0.6320883523525022,Low,0.9761681790583018,Adequate,Basic,Moderate,8,Stoic,Excellent,Vengeance,Unemployed,Medium,Aggressive,Medium,Intimidating,False
Pacilius Maxentius,44,91,Gaul,169,85,Thraex,13,3,Novice,Sica (Curved Sword),Medium,Standard,0.8696809827421538,Low,7.902413455197206,Adequate,Intermediate,Strong,16,Aggressive,Good,Vengeance,Unemployed,Medium,Aggressive,High,Intimidating,True
Balbinus Fidius,19,155,Rome,185,39,Retiarius,1,0,Novice,Trident,High,Superior,0.4188609316889622,Low,8.583135200815656,Excellent,Intermediate,Strong,1,Aggressive,Excellent,Freedom,Entertainer,Medium,Aggressive,Medium,Charismatic,False
Celsus Lucretius,43,143,Germania,182,54,Thraex,12,0,Novice,Sica (Curved Sword),High,Superior,0.890432453149256,Low,1.904944736403109,Excellent,Intermediate,Strong,12,Fearful,Good,Survival,Criminal,Medium,Aggressive,High,Humble,True
Laronius Mamilius,44,180,Greece,174,111,Murmillo,12,1,Tactics,Gladius (Sword),Low,Basic,0.8312922625413628,High,3.3407794318102675,Poor,Expert,Strong,13,Calculative,Fair,Freedom,Laborer,Low,Defensive,Medium,Flamboyant,True
Laberius Terentius,34,54,Greece,180,90,Secutor,14,2,Strength,Dagger,Medium,Standard,0.9351563392191122,Low,7.490470146557722,Adequate,Expert,Strong,16,Calculative,Excellent,Glory,Entertainer,Medium,Balanced,High,Flamboyant,True
Hadrian Naevius,40,114,Rome,182,87,Murmillo,13,4,Novice,Dagger,Low,Basic,0.8971236209509663,Low,7.35753243643143,Poor,Basic,Strong,17,Calculative,Good,Survival,Laborer,Medium,Balanced,High,Intimidating,True
Caedicius Agrippa,32,141,Germania,181,59,Hoplomachus,4,0,Speed,Dagger,Medium,Standard,0.5858030877432967,Low,2.9752222136108144,Adequate,Expert,Moderate,4,Calculative,Excellent,Glory,Entertainer,Low,Balanced,Medium,Charismatic,False
Gracchus Hostilius,18,61,Thrace,184,72,Provocator,1,0,Speed,Gladius (Sword),High,Superior,0.4886417763049418,Low,5.068252982132492,Excellent,Advanced,Strong,1,Fearful,Excellent,Survival,Entertainer,Medium,Aggressive,Medium,Charismatic,False
Faustus Primitivus,18,243,Gaul,188,90,Hoplomachus,6,1,Novice,Spear,Low,Basic,0.6742841795783054,Low,8.873205159977383,Poor,Intermediate,Moderate,7,Stoic,Excellent,Survival,Criminal,Medium,Balanced,Medium,Humble,False
Gordian Laurentius,33,35,Thrace,189,57,Retiarius,6,3,Endurance,Trident,High,Superior,0.5382264481970591,Low,5.557017966671059,Excellent,Expert,Strong,9,Calculative,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Charismatic,False
Germanicus Hirrus,38,57,Germania,174,65,Thraex,9,3,Tactics,Sica (Curved Sword),Low,Basic,0.6042967177617562,High,1.0376973356877672,Poor,Expert,Moderate,12,Stoic,Fair,Freedom,Laborer,Medium,Balanced,Medium,Humble,False
Munatius Magnentius,27,55,Greece,169,89,Provocator,2,0,Novice,Gladius (Sword),Medium,Standard,0.5446416979652259,Low,4.455932499364446,Adequate,Basic,Moderate,2,Stoic,Excellent,Vengeance,Unemployed,Low,Aggressive,Low,Intimidating,False
Fundanus Latinius,44,185,Thrace,157,89,Murmillo,12,0,Speed,Dagger,High,Superior,0.9205012972719334,Low,7.965729926186157,Excellent,Expert,Strong,12,Stoic,Good,Glory,Entertainer,Medium,Balanced,High,Intimidating,True
Gracchus Atilius,28,56,Thrace,189,110,Secutor,9,1,Novice,Dagger,Low,Basic,0.7401257662668184,Low,7.062644078096915,Poor,Intermediate,Strong,10,Fearful,Excellent,Survival,Entertainer,Medium,Balanced,Low,Humble,True
Cocceius Novellius,20,103,Numidia,172,94,Provocator,6,3,Endurance,Dagger,Medium,Standard,0.5143239941563766,Low,6.636761855755886,Adequate,Expert,Moderate,9,Calculative,Excellent,Survival,Soldier,Medium,Defensive,Medium,Intimidating,True
Papirius Mamilius,33,32,Numidia,191,62,Murmillo,14,0,Endurance,Dagger,Low,Basic,0.8778594418518514,High,4.181152639695698,Poor,Expert,Strong,14,Stoic,Good,Glory,Criminal,Medium,Aggressive,Medium,Humble,True
Aemilius Paconius,32,212,Thrace,192,87,Secutor,3,0,Novice,Dagger,High,Superior,0.4409377167662963,Low,1.0584066222707045,Excellent,Intermediate,Strong,3,Fearful,Excellent,Freedom,Unemployed,Medium,Balanced,Medium,Intimidating,False
Cilnius Mallius,18,140,Gaul,163,73,Secutor,4,1,Novice,Dagger,Low,Basic,0.4993466202227756,Low,3.7861452082614098,Poor,Intermediate,Moderate,5,Aggressive,Excellent,Vengeance,Soldier,Medium,Aggressive,Medium,Intimidating,False
Crispus Hostilius,18,80,Germania,181,57,Retiarius,3,1,Novice,Net,High,Superior,0.5092036003463171,Low,4.186548362414672,Excellent,Basic,Strong,4,Stoic,Excellent,Vengeance,Soldier,Medium,Aggressive,High,Charismatic,False
Opimius Nasidienus,22,161,Gaul,175,97,Murmillo,7,2,Novice,Gladius (Sword),High,Superior,0.6667020340012041,Low,7.389101585701046,Excellent,Intermediate,Strong,9,Aggressive,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,True
Maximian Severus,43,66,Greece,190,78,Murmillo,8,1,Novice,Gladius (Sword),Low,Basic,0.704536260212624,Low,5.607112321293985,Poor,Intermediate,Strong,9,Fearful,Good,Glory,Unemployed,Medium,Aggressive,Medium,Charismatic,True
Nasidienus Sextius,26,154,Thrace,169,74,Thraex,9,3,Novice,Sica (Curved Sword),High,Superior,0.7247347197257172,Low,3.3397319871662234,Excellent,Basic,Strong,12,Fearful,Excellent,Freedom,Laborer,Medium,Aggressive,Medium,Flamboyant,True
Silanus Laetorius,43,124,Gaul,181,91,Murmillo,5,0,Agility,Gladius (Sword),High,Superior,0.5364571696392958,Low,1.1203744434444611,Excellent,Advanced,Strong,5,Aggressive,Good,Vengeance,Entertainer,Medium,Defensive,High,Intimidating,False
Betilienus Fundanus,38,79,Greece,188,73,Retiarius,9,3,Strength,Trident,High,Superior,0.7049169787181024,Low,4.4566836119330535,Excellent,Expert,Strong,12,Calculative,Excellent,Glory,Criminal,Medium,Balanced,High,Charismatic,True
Tacitus Festinius,27,199,Rome,193,90,Hoplomachus,5,2,Strength,Spear,Medium,Standard,0.4766867383829213,Low,8.122401796157598,Adequate,Advanced,Moderate,7,Fearful,Excellent,Glory,Laborer,Medium,Balanced,Low,Humble,False
Hostilius Seneca,35,16,Rome,182,89,Thraex,5,1,Endurance,Dagger,High,Superior,0.5204145294488185,High,3.04165483649194,Excellent,Advanced,Strong,6,Aggressive,Good,Glory,Entertainer,Medium,Aggressive,High,Humble,False
Scribonius Musonius,36,215,Gaul,161,71,Murmillo,7,2,Endurance,Dagger,High,Superior,0.6100904281441648,Low,4.298065464026461,Excellent,Expert,Strong,9,Calculative,Excellent,Survival,Entertainer,Medium,Aggressive,High,Humble,False
Minicius Vibius,41,125,Numidia,185,94,Thraex,11,3,Speed,Dagger,High,Superior,0.7338904195186201,Low,3.5416884893316567,Excellent,Advanced,Strong,14,Calculative,Good,Glory,Unemployed,Medium,Balanced,Medium,Charismatic,True
Marian Mamilius,39,96,Greece,176,59,Hoplomachus,18,0,Agility,Spear,High,Superior,0.9875259654533584,High,0.955706805209296,Excellent,Expert,Strong,18,Aggressive,Good,Glory,Entertainer,Low,Balanced,Medium,Charismatic,True
Sallustius Papirius,34,69,Gaul,177,86,Hoplomachus,8,1,Endurance,Spear,Low,Basic,0.8008163418924565,High,3.7657344691913663,Poor,Expert,Strong,9,Calculative,Good,Glory,Unemployed,Medium,Balanced,High,Charismatic,True
Urbicus Decentius,26,78,Thrace,181,70,Thraex,5,3,Novice,Dagger,Medium,Standard,0.4345844065007993,Low,4.649042801602668,Adequate,Intermediate,Moderate,8,Calculative,Excellent,Freedom,Entertainer,Low,Balanced,Medium,Charismatic,False
Memmius Sextius,28,115,Numidia,173,80,Provocator,8,1,Novice,Gladius (Sword),Low,Basic,0.7374459315535012,Low,4.088724903346734,Poor,Intermediate,Strong,9,Fearful,Excellent,Glory,Criminal,Medium,Balanced,High,Flamboyant,True
Cicereius Orestius,37,78,Greece,167,72,Thraex,11,7,Novice,Dagger,Low,Basic,0.5004933507889997,High,7.062961239763502,Poor,Intermediate,Moderate,18,Calculative,Fair,Freedom,Entertainer,Medium,Balanced,Medium,Charismatic,False
Marius Oppius,37,48,Greece,176,29,Hoplomachus,10,2,Agility,Dagger,Low,Basic,0.7573808302994653,Low,4.672421013043282,Poor,Advanced,Strong,12,Fearful,Good,Freedom,Entertainer,Medium,Aggressive,High,Intimidating,True
Flaccus Paelignus,30,175,Germania,168,64,Thraex,7,2,Agility,Sica (Curved Sword),Low,Basic,0.6033905201489795,High,0.959709718214353,Poor,Advanced,Moderate,9,Fearful,Good,Glory,Entertainer,Low,Balanced,Medium,Charismatic,False
Plinius Plinius,28,53,Rome,168,98,Murmillo,5,1,Agility,Gladius (Sword),High,Superior,0.5684812723590877,Low,5.456259876930424,Excellent,Expert,Strong,6,Calculative,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Humble,False
Lentulus Salinator,37,184,Rome,181,84,Retiarius,9,2,Agility,Trident,Medium,Standard,0.7592408632225273,Low,5.814911669399678,Adequate,Advanced,Strong,11,Calculative,Good,Freedom,Laborer,Low,Balanced,High,Intimidating,False
Cassius Marcius,33,146,Rome,182,72,Murmillo,9,5,Novice,Gladius (Sword),Low,Basic,0.6969058200437878,High,8.428620688364534,Poor,Basic,Moderate,14,Calculative,Good,Freedom,Criminal,Low,Balanced,Medium,Intimidating,False
Fidius Maximian,41,59,Numidia,167,119,Provocator,15,5,Tactics,Dagger,Low,Basic,0.9789073242981696,High,3.6942660862729584,Poor,Advanced,Strong,20,Fearful,Fair,Survival,Entertainer,Medium,Aggressive,High,Charismatic,False
Rufrius Caelian,27,179,Thrace,170,90,Secutor,11,0,Novice,Gladius (Sword),High,Superior,0.8496870847008278,Low,8.140840955456289,Excellent,Intermediate,Strong,11,Calculative,Excellent,Freedom,Unemployed,Low,Aggressive,High,Humble,True
Rufrius Damasus,43,97,Gaul,179,66,Thraex,4,1,Novice,Sica (Curved Sword),Low,Basic,0.6277711060459874,Low,3.380643899309326,Poor,Basic,Moderate,5,Stoic,Good,Glory,Unemployed,Medium,Balanced,Medium,Humble,False
Paconius Fidenas,38,204,Rome,191,73,Retiarius,8,1,Endurance,Net,Medium,Standard,0.7264971990809894,High,4.04106490425256,Adequate,Advanced,Strong,9,Aggressive,Fair,Glory,Laborer,Medium,Aggressive,Medium,Flamboyant,False
Caedicius Urbicus,39,19,Germania,171,88,Secutor,6,1,Novice,Dagger,High,Superior,0.7188401656348052,Low,3.005016445706272,Excellent,Intermediate,Strong,7,Stoic,Excellent,Survival,Entertainer,Low,Balanced,High,Intimidating,False
Quinctilius Severus,38,14,Numidia,163,61,Retiarius,13,7,Agility,Net,Low,Basic,0.7483288719972427,Low,2.504521093758218,Poor,Advanced,Strong,20,Fearful,Good,Freedom,Criminal,Medium,Balanced,High,Charismatic,False
Cassio Valentinian,42,9,Rome,176,75,Retiarius,10,4,Tactics,Net,Low,Basic,0.7729207920295947,High,0.998127474099663,Poor,Expert,Strong,14,Stoic,Fair,Vengeance,Laborer,Medium,Aggressive,High,Charismatic,False
Marcellus Silanus,45,10,Thrace,170,97,Murmillo,10,3,Novice,Dagger,Medium,Standard,0.7839993407363691,High,1.0980385177716212,Adequate,Intermediate,Strong,13,Aggressive,Fair,Wealth,Laborer,Low,Balanced,High,Intimidating,False
Plinius Cilnius,33,41,Thrace,167,102,Hoplomachus,6,0,Speed,Dagger,High,Superior,0.7499090403114452,Low,0.9935535329279588,Excellent,Expert,Strong,6,Fearful,Excellent,Vengeance,Laborer,Medium,Aggressive,Low,Intimidating,False
Plautius Tarquinius,29,211,Gaul,172,71,Murmillo,10,2,Novice,Dagger,Low,Basic,0.7057907181001496,High,0.9708487786042868,Poor,Intermediate,Strong,12,Stoic,Good,Glory,Unemployed,Medium,Balanced,Medium,Flamboyant,False
Clodius Hostilius,30,63,Thrace,185,83,Retiarius,8,4,Endurance,Net,High,Superior,0.6222819307008662,Low,2.4315064856638773,Excellent,Expert,Strong,12,Aggressive,Excellent,Survival,Entertainer,Medium,Aggressive,Medium,Intimidating,False
Maecenas Egnatuleius,21,102,Germania,178,76,Provocator,3,0,Novice,Dagger,Low,Basic,0.5261228445476737,Low,7.66650741220918,Poor,Basic,Moderate,3,Calculative,Excellent,Freedom,Unemployed,Medium,Aggressive,Low,Humble,False
Rabirius Eborius,24,139,Germania,176,69,Thraex,4,1,Tactics,Sica (Curved Sword),High,Superior,0.5287936853005691,Low,6.136606171656714,Excellent,Expert,Strong,5,Fearful,Excellent,Glory,Laborer,Medium,Balanced,Medium,Charismatic,False
Domitian Ostorius,32,235,Thrace,182,88,Murmillo,5,2,Endurance,Gladius (Sword),Low,Basic,0.6190123003561169,Low,6.063546726563411,Poor,Advanced,Moderate,7,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Intimidating,False
Fidenas Hilarianus,44,52,Numidia,174,88,Hoplomachus,13,4,Speed,Spear,Medium,Standard,0.7688546556604438,High,3.6196929406257614,Adequate,Expert,Strong,17,Fearful,Fair,Glory,Unemployed,Medium,Balanced,High,Charismatic,False
Marius Numitorius,27,130,Thrace,194,96,Murmillo,6,1,Novice,Gladius (Sword),High,Superior,0.7692346088251105,Low,3.014362201646244,Excellent,Basic,Strong,7,Calculative,Excellent,Glory,Criminal,Low,Balanced,Medium,Intimidating,True
Geminius Paelignus,30,74,Thrace,196,52,Provocator,3,0,Endurance,Gladius (Sword),High,Superior,0.4864939024818825,Low,6.752008013870795,Excellent,Advanced,Strong,3,Aggressive,Excellent,Vengeance,Unemployed,Medium,Aggressive,High,Intimidating,True
Cestius Vibius,30,107,Rome,173,108,Hoplomachus,12,1,Tactics,Spear,High,Superior,0.897305038460194,Low,5.397210524047304,Excellent,Expert,Strong,13,Fearful,Excellent,Glory,Unemployed,Low,Balanced,Medium,Charismatic,True
Laurentius Blossius,35,19,Gaul,169,78,Retiarius,6,0,Endurance,Net,Medium,Standard,0.5934245336948408,Low,6.402827549484524,Adequate,Advanced,Moderate,6,Calculative,Excellent,Wealth,Laborer,Medium,Balanced,Medium,Charismatic,True
Cocceius Flaccus,42,71,Numidia,189,90,Hoplomachus,19,3,Novice,Dagger,Medium,Standard,0.8244299806849489,High,1.3215031371952188,Adequate,Basic,Strong,22,Aggressive,Fair,Survival,Criminal,Low,Aggressive,High,Flamboyant,False
Blossius Coruncanius,24,159,Numidia,165,65,Hoplomachus,8,2,Endurance,Spear,High,Superior,0.7012914948996783,Low,2.741562478414697,Excellent,Expert,Strong,10,Calculative,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Flamboyant,True
Valens Sestius,24,229,Gaul,173,47,Provocator,4,0,Agility,Dagger,Low,Basic,0.5393507546082598,Low,8.182675868706474,Poor,Advanced,Moderate,4,Fearful,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,False
Sicinius Eborius,43,61,Gaul,167,70,Hoplomachus,12,6,Novice,Spear,High,Superior,0.6567083503469866,High,1.0297006386817382,Excellent,Intermediate,Strong,18,Calculative,Fair,Freedom,Entertainer,Medium,Aggressive,High,Humble,False
Vincentius Verus,20,49,Gaul,165,83,Secutor,6,1,Novice,Gladius (Sword),Low,Basic,0.5926480825757661,High,1.0297294077885155,Poor,Basic,Moderate,7,Aggressive,Excellent,Freedom,Laborer,Low,Aggressive,Low,Humble,False
Aurelianus Verecundus,43,13,Greece,176,82,Thraex,11,2,Novice,Sica (Curved Sword),Medium,Standard,0.9090927454619906,Low,3.0597972465910326,Adequate,Intermediate,Strong,13,Calculative,Good,Freedom,Entertainer,Medium,Balanced,Low,Charismatic,True
Aquillius Terentius,45,318,Thrace,169,69,Secutor,14,2,Endurance,Dagger,Low,Basic,0.8477942209533708,Low,1.034271451421359,Poor,Expert,Strong,16,Calculative,Good,Survival,Laborer,Medium,Aggressive,Medium,Humble,True
Regulus Menenius,40,32,Gaul,198,81,Retiarius,9,4,Strength,Trident,Low,Basic,0.6223320563331748,High,2.0093720282600804,Poor,Expert,Moderate,13,Aggressive,Fair,Freedom,Laborer,Medium,Balanced,Low,Intimidating,False
Pasidienus Eutropius,37,14,Numidia,181,75,Thraex,14,2,Novice,Dagger,Medium,Standard,0.8644029282939429,High,2.1582804757809533,Adequate,Basic,Strong,16,Aggressive,Fair,Freedom,Unemployed,Medium,Balanced,Low,Flamboyant,True
Calpurnius Iulius,27,126,Numidia,197,85,Murmillo,3,0,Novice,Dagger,High,Superior,0.527099131789884,Low,5.205819403116026,Excellent,Intermediate,Strong,3,Calculative,Excellent,Wealth,Laborer,Medium,Balanced,High,Intimidating,False
Mescinius Mucius,43,30,Gaul,177,109,Murmillo,9,2,Endurance,Gladius (Sword),Low,Basic,0.8395163003652042,Low,5.91291244583338,Poor,Advanced,Strong,11,Fearful,Good,Glory,Entertainer,Medium,Defensive,High,Charismatic,True
Paulinus Aemilius,40,51,Gaul,183,102,Secutor,12,4,Novice,Gladius (Sword),High,Superior,0.7827051870786691,Low,5.011002711925808,Excellent,Basic,Strong,16,Fearful,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,True
Constantinus Cassianus,37,154,Gaul,167,127,Secutor,7,4,Endurance,Dagger,Medium,Standard,0.5558839288702975,Low,6.615747423269214,Adequate,Advanced,Moderate,11,Stoic,Good,Glory,Entertainer,Low,Balanced,Medium,Charismatic,False
Mallius Cominius,28,76,Greece,171,80,Hoplomachus,8,2,Speed,Dagger,High,Superior,0.641645932041194,High,3.8244343663627127,Excellent,Advanced,Strong,10,Stoic,Excellent,Wealth,Criminal,Low,Aggressive,Medium,Charismatic,True
Fannius Betilienus,39,50,Numidia,174,77,Secutor,10,1,Speed,Dagger,High,Superior,0.7402165688178726,Low,3.677490428155212,Excellent,Expert,Strong,11,Fearful,Excellent,Survival,Criminal,Medium,Aggressive,High,Humble,True
Cornificius Gordian,41,76,Greece,179,69,Secutor,20,4,Agility,Dagger,Medium,Standard,0.9038511056489396,High,4.6605167252777004,Adequate,Advanced,Strong,24,Stoic,Fair,Glory,Laborer,Medium,Balanced,Low,Charismatic,True
Rufinus Cantilius,28,22,Rome,166,61,Hoplomachus,6,1,Endurance,Dagger,Low,Basic,0.6998406955791361,High,4.244069242283586,Poor,Expert,Moderate,7,Calculative,Good,Vengeance,Unemployed,Medium,Aggressive,Medium,Humble,False
Bruttius Paelignus,31,60,Rome,171,60,Secutor,9,2,Agility,Gladius (Sword),High,Superior,0.7533738414694139,Low,5.905972646548434,Excellent,Expert,Strong,11,Calculative,Excellent,Vengeance,Entertainer,Low,Balanced,High,Flamboyant,True
Marcius Rullianus,20,213,Thrace,167,81,Murmillo,6,2,Strength,Dagger,Medium,Standard,0.6820825623402095,Low,5.836735888702812,Adequate,Advanced,Moderate,8,Stoic,Excellent,Vengeance,Entertainer,High,Aggressive,Medium,Charismatic,True
Nasidius Cicereius,18,36,Greece,177,64,Thraex,1,0,Novice,Sica (Curved Sword),Medium,Standard,0.3643737165116518,Low,7.04384376720268,Adequate,Basic,Moderate,1,Aggressive,Excellent,Freedom,Unemployed,Medium,Balanced,Medium,Humble,False
Camillius Catius,22,34,Numidia,176,97,Secutor,6,2,Endurance,Gladius (Sword),Medium,Standard,0.5563999263166596,Low,3.7679798443487273,Adequate,Advanced,Moderate,8,Calculative,Excellent,Survival,Soldier,High,Balanced,Low,Humble,False
Camillus Secundus,23,30,Gaul,162,93,Thraex,8,1,Tactics,Dagger,Low,Basic,0.7517412739481194,Low,4.799972317873867,Poor,Expert,Strong,9,Calculative,Excellent,Wealth,Soldier,Medium,Defensive,Medium,Humble,True
Fabrinius Anatolius,22,71,Gaul,188,67,Provocator,7,0,Speed,Dagger,Low,Basic,0.8223456051576324,Low,6.615386055208863,Poor,Advanced,Strong,7,Stoic,Excellent,Wealth,Entertainer,High,Balanced,High,Charismatic,True
Seneca Pasidienus,24,198,Germania,178,65,Murmillo,8,1,Novice,Dagger,High,Superior,0.853992830769868,Low,7.379881814073831,Excellent,Intermediate,Strong,9,Aggressive,Excellent,Glory,Entertainer,Medium,Aggressive,High,Humble,True
Gaius Cinna,45,76,Greece,174,61,Hoplomachus,10,1,Tactics,Dagger,Medium,Standard,0.8842412530445543,High,2.738729037239996,Adequate,Expert,Strong,11,Calculative,Fair,Wealth,Unemployed,Medium,Defensive,Medium,Charismatic,True
Sedatius Sertorius,24,66,Numidia,177,99,Murmillo,5,1,Speed,Dagger,Low,Basic,0.4540941817322718,Low,3.832349756170658,Poor,Advanced,Moderate,6,Stoic,Excellent,Wealth,Soldier,High,Balanced,Medium,Charismatic,False
Numonius Bonifacius,32,137,Numidia,183,105,Murmillo,9,0,Novice,Gladius (Sword),High,Superior,0.8512364783351192,High,6.390122601725668,Excellent,Intermediate,Strong,9,Calculative,Good,Freedom,Unemployed,Medium,Balanced,High,Flamboyant,True
Caninius Julius,32,36,Thrace,180,62,Retiarius,4,0,Endurance,Net,Medium,Standard,0.6298360513266476,Low,1.7451034882712833,Adequate,Advanced,Moderate,4,Fearful,Excellent,Glory,Criminal,Medium,Defensive,Low,Charismatic,False
Mallius Sertorius,21,148,Rome,153,86,Murmillo,5,1,Endurance,Dagger,High,Superior,0.7116351484406311,Low,10.002031307390878,Excellent,Advanced,Strong,6,Stoic,Excellent,Survival,Soldier,Medium,Aggressive,Medium,Humble,True
Iunius Percennius,45,44,Greece,165,82,Secutor,10,0,Strength,Gladius (Sword),High,Superior,0.9925292417151834,Low,5.551119766285568,Excellent,Advanced,Strong,10,Calculative,Good,Vengeance,Laborer,Low,Balanced,Medium,Flamboyant,True
Aurelianus Decentius,44,57,Germania,154,98,Thraex,8,2,Tactics,Dagger,Medium,Standard,0.7080022050812399,Low,4.589504885240382,Adequate,Expert,Strong,10,Aggressive,Good,Survival,Unemployed,Medium,Aggressive,Medium,Intimidating,True
Cispius Sertorius,21,216,Thrace,173,116,Provocator,1,0,Novice,Gladius (Sword),Medium,Standard,0.4169235878256758,Low,2.019599211615516,Adequate,Intermediate,Moderate,1,Calculative,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,False
Betilienus Pupius,40,20,Rome,164,98,Murmillo,11,1,Agility,Dagger,Low,Basic,0.764977403645306,High,5.267866491916166,Poor,Advanced,Strong,12,Calculative,Fair,Wealth,Criminal,Medium,Defensive,Medium,Charismatic,True
Pompeius Sepullius,28,158,Greece,182,73,Hoplomachus,16,1,Novice,Spear,Low,Basic,0.8165837701348273,Low,6.46085071956913,Poor,Intermediate,Strong,17,Stoic,Excellent,Vengeance,Unemployed,Medium,Balanced,Medium,Charismatic,True
Nautius Domitian,32,130,Thrace,187,72,Retiarius,4,0,Novice,Trident,High,Superior,0.5823633757682666,Low,5.176731415884551,Excellent,Intermediate,Strong,4,Aggressive,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,True
Curtius Munatius,23,31,Rome,196,135,Murmillo,4,0,Speed,Gladius (Sword),High,Superior,0.569841330858916,Low,8.045630250605356,Excellent,Advanced,Strong,4,Stoic,Excellent,Survival,Laborer,Medium,Aggressive,High,Humble,True
Opellius Domitian,45,30,Greece,172,70,Hoplomachus,9,1,Endurance,Spear,High,Superior,0.8104621398552774,Low,3.3616646276798683,Excellent,Advanced,Strong,10,Stoic,Good,Vengeance,Criminal,Low,Balanced,Medium,Charismatic,False
Hostilius Acilius,40,43,Numidia,167,70,Hoplomachus,16,2,Novice,Spear,High,Superior,0.9357090229180202,High,8.398745126818536,Excellent,Basic,Strong,18,Stoic,Good,Glory,Criminal,Medium,Balanced,High,Flamboyant,True
Foslius Latinius,27,70,Greece,161,79,Murmillo,6,1,Novice,Dagger,Medium,Standard,0.7006326305998154,Low,4.184606142346477,Adequate,Intermediate,Strong,7,Fearful,Excellent,Glory,Unemployed,Medium,Balanced,Medium,Intimidating,False
Cassianus Ravillius,19,82,Greece,181,85,Secutor,9,2,Endurance,Gladius (Sword),Medium,Standard,0.736717990528868,Low,7.879457188859599,Adequate,Advanced,Strong,11,Aggressive,Excellent,Vengeance,Soldier,Medium,Defensive,High,Humble,True
Catilius Betilienus,35,127,Greece,185,57,Provocator,9,0,Agility,Dagger,Medium,Standard,0.8222807737821308,Low,0.9322340726729867,Adequate,Advanced,Strong,9,Stoic,Excellent,Glory,Criminal,Medium,Balanced,Low,Humble,False
Juvenalis Domitius,27,138,Germania,186,87,Thraex,9,1,Tactics,Dagger,Medium,Standard,0.8498276135372265,Low,3.620505656599607,Adequate,Advanced,Strong,10,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Humble,True
Mescinius Salvidienus,20,39,Thrace,178,73,Retiarius,3,1,Agility,Net,Medium,Standard,0.5134230387266246,Low,4.3129909656349925,Adequate,Expert,Moderate,4,Calculative,Excellent,Wealth,Entertainer,Medium,Defensive,Low,Intimidating,False
Fundanus Scribonius,38,217,Numidia,171,95,Provocator,5,1,Agility,Dagger,Medium,Standard,0.6605716190927036,Low,1.2807570276634157,Adequate,Expert,Moderate,6,Calculative,Good,Glory,Criminal,Medium,Balanced,Low,Intimidating,False
Pacilius Marcellus,26,146,Rome,183,86,Secutor,7,2,Novice,Dagger,Medium,Standard,0.5879127776584963,Low,1.513145162138818,Adequate,Intermediate,Moderate,9,Fearful,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Intimidating,False
Julius Junius,30,183,Germania,180,100,Thraex,8,0,Novice,Sica (Curved Sword),High,Superior,0.8465317535674777,Low,1.1220469987893675,Excellent,Intermediate,Strong,8,Stoic,Excellent,Freedom,Unemployed,Low,Balanced,High,Humble,True
Maecilius Cordius,25,61,Thrace,179,64,Provocator,8,1,Endurance,Dagger,Medium,Standard,0.6816982950079428,Low,7.85505359832054,Adequate,Expert,Moderate,9,Fearful,Excellent,Survival,Laborer,Medium,Balanced,Medium,Charismatic,True
Fannius Flavius,22,50,Thrace,176,79,Murmillo,8,2,Novice,Dagger,Medium,Standard,0.6337223854602317,Low,7.993727993295591,Adequate,Intermediate,Moderate,10,Aggressive,Excellent,Freedom,Criminal,Medium,Balanced,Medium,Humble,True
Germanicus Cincinnatus,37,140,Thrace,194,66,Retiarius,10,1,Endurance,Trident,Medium,Standard,0.7622295326490669,High,3.006703147113893,Adequate,Expert,Strong,11,Fearful,Fair,Glory,Laborer,Low,Balanced,Medium,Humble,False
